id,text,start,end
mSvyBpWueu4/00033,THAT IF YOU DO THAT AND I DO THAT AREN'T WE GOING TO CREATE A BETTER FUTURE FOR OUR CHILDREN FOR YOUR CHILDREN FOR OUR GRANDCHILDREN AND WE WILL LIVE IN A VERY PEACEFUL WORLD THANK YOU,0.000,-1.000
mSvyBpWueu4/00032,BE CONFIDENT MOVE OUT BECAUSE AS YOU CHANGE YOUR,0.000,-1.000
mSvyBpWueu4/00026,I REMEMBER THAT DAY AND I SAW SOMETHING BEYOND WHAT I WAS SEEING IN ANGELINE AND YES SHE WAS OLDER TO BE IN FOURTH GRADE WE GAVE HER THE OPPORTUNITY TO COME TO THE CLASS FIVE MONTHS LATER,0.000,-1.000
mSvyBpWueu4/00022,CRY OF THESE GIRLS WAS IN MY FACE I HAD TO DO SOMETHING AS I WENT BACK I STARTED TALKING TO THE MEN TO THE VILLAGE AND MOTHERS AND I,0.000,-1.000
mSvyBpWueu4/00023,BLAMED FOR THAT AND SHE'S PUNISHED SHE'S BEATEN THEY SAID WE WANTED TO PUT OUR GIRLS IN A SAFE PLACE,0.000,-1.000
mSvyBpWueu4/00021,THOSE THINGS MADE ME ANGRY I WANTED TO DO SOMETHING AS I WENT BACK EVERY TIME I WENT I FOUND THAT MY NEIGHBORS' GIRLS WERE GETTING MARRIED THEY WERE GETTING MUTILATED,0.000,-1.000
mSvyBpWueu4/00009_0,HIM TO CARRY THE REST OF HIS LIFE,0.000,1.935
mSvyBpWueu4/00009_1,SO HE FIGURED OUT WELL HE SAID OKAY,1.935,4.975
mSvyBpWueu4/00009_2,YOU'LL GO TO SCHOOL AFTER THE CEREMONY,4.975,7.900
mSvyBpWueu4/00009_3,I DID,7.900,9.065
mSvyBpWueu4/00009_4,THE CEREMONY HAPPENED IT'S A WHOLE WEEK LONG OF EXCITEMENT,9.065,13.675
mSvyBpWueu4/00009_5,IT'S A CEREMONY PEOPLE ENJOYING IT,13.675,16.620
mSvyBpWueu4/00009_6,AND THE DAY BEFORE THE ACTUAL CEREMONY HAPPENS WE WERE DANCING HAVING EXCITEMENT AND THROUGH ALL THE NIGHT WE DID NOT SLEEP,16.620,25.565
mSvyBpWueu4/00009_7,THE ACTUAL DAY CAME,25.565,27.715
mSvyBpWueu4/00009_8,AND WE WALKED OUT OF THE HOUSE THAT WE WERE DANCING IN YES WE DANCED AND DANCED WE WALKED OUT TO THE COURTYARD AND THERE WERE A BUNCH OF PEOPLE WAITING,27.715,35.455
mSvyBpWueu4/00009_9,THEY WERE ALL IN A CIRCLE,35.455,37.480
mSvyBpWueu4/00009_10,AND AS WE DANCED AND DANCED,37.480,-1.000
mSvyBpWueu4/00008_0,THROUGH THIS TRADITION,0.000,1.385
mSvyBpWueu4/00008_1,I WAS GOING TO BECOME A WIFE,1.385,4.335
mSvyBpWueu4/00008_2,WELL MY DREAM OF BECOMING A TEACHER WILL NOT COME TO PASS,4.335,8.665
mSvyBpWueu4/00008_3,SO I TALKED I HAD TO COME UP WITH A PLAN TO FIGURE THESE THINGS OUT,8.665,13.565
mSvyBpWueu4/00008_4,I TALKED TO MY FATHER I DID SOMETHING THAT MOST GIRLS HAVE NEVER DONE I TOLD MY FATHER,13.565,19.080
mSvyBpWueu4/00008_5,I WILL ONLY GO THROUGH THIS CEREMONY IF YOU LET ME GO BACK TO SCHOOL,19.080,23.600
mSvyBpWueu4/00008_6,THE REASON WHY IF I RAN AWAY MY FATHER WILL HAVE A STIGMA,23.600,28.320
mSvyBpWueu4/00008_7,PEOPLE WILL BE CALLING HIM THE FATHER OF THAT GIRL WHO DIDN'T GO THROUGH THE CEREMONY IT WAS A SHAMEFUL THING,28.320,-1.000
mSvyBpWueu4/00020_0,WAS IN A LAND OF PLENTY,0.000,2.560
mSvyBpWueu4/00020_1,I ENJOYED MYSELF,2.560,5.050
mSvyBpWueu4/00020_2,BUT DURING THAT MOMENT WHILE I WAS HERE,5.050,8.255
mSvyBpWueu4/00020_3,I DISCOVERED A LOT OF THINGS,8.255,10.665
mSvyBpWueu4/00020_4,I LEARNED THAT,10.665,12.260
mSvyBpWueu4/00020_5,THAT CEREMONY THAT I WENT THROUGH WHEN I WAS 13 YEARS OLD,12.260,15.930
mSvyBpWueu4/00020_6,IT WAS CALLED FEMALE GENITAL MUTILATION,15.930,18.935
mSvyBpWueu4/00020_7,I LEARNED THAT IT WAS AGAINST THE LAW IN KENYA,18.935,22.430
mSvyBpWueu4/00020_8,I LEARNED THAT,22.430,24.260
mSvyBpWueu4/00020_9,I DID NOT HAVE TO TRADE PART OF MY BODY,24.260,27.255
mSvyBpWueu4/00020_10,TO GET AN EDUCATION,27.255,28.975
mSvyBpWueu4/00020_11,I HAD A RIGHT,28.975,30.435
mSvyBpWueu4/00020_12,AND AS WE SPEAK RIGHT NOW THREE MILLION GIRLS IN AFRICA ARE AT RISK OF GOING THROUGH THIS MUTILATION,30.435,39.025
mSvyBpWueu4/00020_13,I LEARNED,39.025,-1.000
mSvyBpWueu4/00011,SHE LOOKED AT ME AND I SAT DOWN AND I SAT DOWN AND I OPENED MY LEGS AS I OPENED MY LEG ANOTHER WOMAN CAME AND THIS WOMAN WAS CARRYING A KNIFE,0.000,-1.000
mSvyBpWueu4/00005,AS A POLICEMAN IN THE CITY HE CAME HOME ONCE A YEAR WE DIDN'T SEE HIM FOR SOMETIMES EVEN TWO YEARS AND WHENEVER HE CAME HOME IT WAS A DIFFERENT CASE MY MOTHER WORKED HARD IN THE FARM,0.000,-1.000
mSvyBpWueu4/00004,ME AND MY SIBLINGS THAT SHE NEVER WANTED US TO LIVE THE,0.000,-1.000
mSvyBpWueu4/00010,SITTING IN THE MIDDLE OF IT AND THIS WOMAN WAS WAITING TO HOLD US,0.000,-1.000
mSvyBpWueu4/00006_0,WAS A WOMAN SHE WAS NOT ALLOWED,0.000,2.040
mSvyBpWueu4/00006_1,TO OWN ANY PROPERTY AND BY DEFAULT EVERYTHING IN MY FAMILY ANYWAY BELONGS TO MY FATHER SO HE HAD THE RIGHT,2.040,8.615
mSvyBpWueu4/00006_2,AND IF MY MOTHER EVER QUESTIONED HIM,8.615,10.870
mSvyBpWueu4/00006_3,HE BEAT HER ABUSED HER,10.870,13.340
mSvyBpWueu4/00006_4,AND REALLY,13.340,15.010
mSvyBpWueu4/00006_5,IT WAS DIFFICULT,15.010,17.370
mSvyBpWueu4/00006_6,WHEN I WENT TO SCHOOL,17.370,-1.000
mSvyBpWueu4/00012,KNIFE SHE WALKED TOWARD ME AND SHE HELD THE CLITORIS AND SHE CUT IT OFF,0.000,-1.000
mSvyBpWueu4/00013_0,I BLED,0.000,1.175
mSvyBpWueu4/00013_1,AFTER BLEEDING FOR A WHILE I FAINTED THEREAFTER,1.175,5.580
mSvyBpWueu4/00013_2,IT'S SOMETHING THAT SO MANY GIRLS I'M LUCKY I NEVER DIED BUT MANY DIE,5.580,12.060
mSvyBpWueu4/00013_3,IT'S PRACTICED IT'S NO ANESTHESIA,12.060,15.380
mSvyBpWueu4/00013_4,IT'S,15.380,-1.000
mSvyBpWueu4/00007_0,MOST OF ALL THE TEACHER WAS JUST WRITING ON THE BOARD,0.000,3.505
mSvyBpWueu4/00007_1,NOT HARD WORK THAT'S WHAT,3.505,5.885
mSvyBpWueu4/00007_2,I THOUGHT COMPARED TO WHAT I WAS DOING IN THE FARM,5.885,8.550
mSvyBpWueu4/00007_3,SO I WANTED TO BECOME A TEACHER,8.550,10.855
mSvyBpWueu4/00007_4,I WORKED HARD IN SCHOOL,10.855,12.800
mSvyBpWueu4/00007_5,BUT WHEN I WAS IN EIGHTH GRADE,12.800,14.900
mSvyBpWueu4/00007_6,IT WAS A DETERMINING FACTOR,14.900,17.155
mSvyBpWueu4/00007_7,IN OUR TRADITION,17.155,18.750
mSvyBpWueu4/00007_8,THERE IS A,18.750,-1.000
mSvyBpWueu4/00003,THAT I NEEDED TO DO TO BECOME A PERFECT WIFE I WENT TO SCHOOL,0.000,-1.000
mSvyBpWueu4/00016,THIS GENTLEMAN HE HELPED ME WHILE I WAS IN HIGH SCHOOL ALSO MY DAD WAS SICK,0.000,-1.000
mSvyBpWueu4/00002,EVERYTHING I HAD TO DO FROM THAT MOMENT WAS TO PREPARE ME TO BE A PERFECT WOMAN AT,0.000,-1.000
mSvyBpWueu4/00014_0,I WAS LUCKY BECAUSE ONE ALSO MY MOM DID SOMETHING THAT MOST,0.000,3.370
mSvyBpWueu4/00014_1,WOMEN DON'T DO,3.370,5.265
mSvyBpWueu4/00014_2,THREE DAYS LATER AFTER EVERYBODY HAS LEFT THE HOME MY MOM WENT AND BROUGHT A NURSE,5.265,10.130
mSvyBpWueu4/00014_3,WE WERE TAKEN CARE OF,10.130,11.705
mSvyBpWueu4/00014_4,THREE WEEKS LATER I WAS HEALED AND I WAS BACK IN HIGH SCHOOL,11.705,15.890
mSvyBpWueu4/00014_5,I WAS SO DETERMINED,15.890,18.300
mSvyBpWueu4/00014_6,TO BE A TEACHER NOW,18.300,20.035
mSvyBpWueu4/00014_7,SO THAT I COULD MAKE A DIFFERENCE IN MY FAMILY,20.035,-1.000
mSvyBpWueu4/00028,ARE NOT BEING BEATEN BECAUSE OF THE REVOLUTIONS WE'VE STARTED IN OUR COMMUNITY,0.000,-1.000
mSvyBpWueu4/00029,I WANT TO CHALLENGE YOU TODAY YOU ARE LISTENING TO ME BECAUSE YOU ARE HERE VERY,0.000,-1.000
mSvyBpWueu4/00001,I FOUND OUT THAT I WAS ENGAGED TO BE MARRIED AS SOON AS I REACHED PUBERTY MY MOTHER MY GRANDMOTHER MY AUNTIES THEY CONSTANTLY REMINDED ME THAT YOUR HUSBAND,0.000,-1.000
mSvyBpWueu4/00015_0,ABOUT CLOTHES I THINK AND SHOES,0.000,3.145
mSvyBpWueu4/00015_1,THEY WERE SNEAKERS AND THIS IS IN A,3.145,6.185
mSvyBpWueu4/00015_2,VILLAGE THAT DOESN'T EVEN HAVE PAVED ROADS IT WAS QUITE,6.185,10.440
mSvyBpWueu4/00015_3,ATTRACTIVE I TOLD HIM WELL,10.440,13.130
mSvyBpWueu4/00015_4,I,13.130,13.975
mSvyBpWueu4/00015_5,WANT TO GO TO WHERE YOU ARE BECAUSE THIS MAN LOOKED VERY HAPPY,13.975,17.890
mSvyBpWueu4/00015_6,AND I ADMIRED THAT,17.890,19.985
mSvyBpWueu4/00015_7,AND HE TOLD ME,19.985,21.455
mSvyBpWueu4/00015_8,WELL,21.455,22.445
mSvyBpWueu4/00015_9,WHAT DO YOU MEAN YOU WANT TO GO DON'T YOU HAVE A HUSBAND WAITING FOR YOU,22.445,26.000
mSvyBpWueu4/00015_10,AND I TOLD HIM,26.000,27.160
mSvyBpWueu4/00015_11,DON'T,27.160,-1.000
